Company,Pharma Company Name,Penalty Amount,Subtraction From Penalty,Penalty Amount Adjusted For Eliminating Multiple Counting,Penalty Year,Penalty Date,Offense Group,Primary Offense,Secondary Offense,Description,Level of Government,Action Type,Agency,Civil/Criminal,Prosecution Agreement,Court,Case ID,Private Litigation Case Title,Lawsuit Resolution,Facility State,City,Address,Zip,NAICS Code,NAICS Translation,HQ Country of Parent,HQ State of Parent,Ownership Structure,Parent Company Stock Ticker,Major Industry of Parent,Specific Industry of Parent,Info Source,Notes
Bristol-Myers Squibb Company,Bristol-Myers Squibb,"$1,600,000 ",$0 ,"$1,600,000 ",2019,20190324,consumer-protection-related offenses,consumer protection violation,,"Durgmaker Bristol-Myers Squibb and marketer Sanofi-Aventis each agreed to pay the state $1.6 million to settle allegations they acted in an unfair and deceptive manner by marketing Plavix as a superior drug to aspirin with a much higher price, despite evidence showing Plavix had no better effect than aspirin for certain usages.",state,agency action,West Virginia Attorney General,civil,,,,,,West Virginia,,,,,,USA,New York,publicly traded,BMY,pharmaceuticals,pharmaceuticals,https://mailchi.mp/wvago/wva-finalizes-32m-prescription-drug-settlement-705045,
"Bristol-Myers Squibb Company and Apothecon, Inc.",Bristol-Myers Squibb,"$1,738,719 ",$0 ,"$1,738,719 ",2008,20080625,government-contracting-related offenses,False Claims Act and related,,"Bristol-Myers Squibb Company and Apothecon, Inc. agreed to pay a total of $1,738,719 in settlement of allegations they falsely reported the average wholesale price of some of their drugs.",state,agency action,Idaho Attorney General,civil,,,,,,Idaho,,,,,,USA,New York,publicly traded,BMY,pharmaceuticals,pharmaceuticals,https://web.archive.org/web/20140625222655/http://www.ag.idaho.gov/media/newsReleases/2013/nr_08272013.html,
Celgene Corp.,Bristol-Myers Squibb,"$20,700,000 ","$20,700,000 ",$0 ,2017,20170724,healthcare-related offenses,off-label or unapproved promotion of medical products,,Celgene Corp. agreed to pay $20.7 million to settle multistate litigation alleging it caused false claims to be submitted to state Medicaid programs by promoting two cancer treatment drugs for uses not approved by the Food and Drug Administration. This was part of a larger $280 million settlement involving the federal government; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-celgene-corp,state,agency action,Multistate Attorneys General Case,civil,,,,,,,,,,,,USA,New York,publicly traded,BMY,pharmaceuticals,pharmaceuticals,https://www.justice.gov/usao-cdca/pr/celgene-agrees-pay-280-million-resolve-fraud-allegations-related-promotion-cancer-drugs,
Cephalon,Teva Pharmaceutical Industries,"$125,000,000 ",$0 ,"$125,000,000 ",2016,20160804,consumer-protection-related offenses,consumer protection violation,,Cephalon paid $125 million to settle multistate allegtions that it used anticompetitive measures to protect the monopoly profits it earned from its landmark wakefulness drug Provigil. ,state,agency action,Multistate Attorneys General Case,civil,,,,,,,,,,,,Israel,,publicly traded,TEVA,pharmaceuticals,pharmaceuticals,http://www.illinoisattorneygeneral.gov/pressroom/2016_08/20160804.html,
Cephalon Inc.,Teva Pharmaceutical Industries,"$116,000,000 ","$116,000,000 ",$0 ,2008,20080929,healthcare-related offenses,off-label or unapproved promotion of medical products,False Claims Act and related,Cephalon agreed to pay $116 million to settle multistate litigation alleging that it marketed three drugs for uses not approved by the Food and Drug Administration and thus caused false claims for payment to be submitted to state Medicaid programs. This was part of a larger $425 million civil and criminal settlement involving the federal government; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-cephalon-inc-1,state,agency action,Multistate Attorneys General Case,civil,,,,,,,,,,,,Israel,,publicly traded,TEVA,pharmaceuticals,pharmaceuticals,https://www.justice.gov/archive/opa/pr/2008/September/08-civ-860.html,
"Cephalon, Inc.",Teva Pharmaceutical Industries,"$6,150,000 ",$0 ,"$6,150,000 ",2008,20080929,healthcare-related offenses,off-label or unapproved promotion of medical products,,"Cephalon agreed to pay $6.15 million to settle allegations it marketed its drugs Actiq, Gabitril and Provigil for unapproved uses, leading to a huge increase in off-label prescription with significant health and safety risks. This was a separate Connecticut settlement in addition to the federal/multistate settlement.",state,agency action,Connecticut Attorney General,civil,,,,,,Connecticut,,,,,,Israel,,publicly traded,TEVA,pharmaceuticals,pharmaceuticals,https://web.archive.org/web/20091021031518/http://www.ct.gov/ag/cwp/view.asp?A=2795&Q=423868,
"Cephalon, Inc.",Teva Pharmaceutical Industries,"$7,500,000 ","$7,500,000 ",$0 ,2015,20151104,government-contracting-related offenses,False Claims Act and related,,"Cephalon argeed to pay $7.5 million to settle multistate allegations that it overcharged state Medicaid programs for pharmaceutical products by underpaying drug rebates owed to the states. Also involved in the settlement was the federal government, which issued its own announcement; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-cephalon-inc-0",state,agency action,Multistate Attorneys General Case,civil,,,,,,,,,,,,Israel,,publicly traded,TEVA,pharmaceuticals,pharmaceuticals,https://web.archive.org/web/20170716210609/https://ag.ny.gov/press-release/ag-schneiderman-announces-54-million-multistate-settlement-astrazeneca-lp-and-cephalon,
CIBA Vision,Novartis,"$5,000,000 ",$0 ,"$5,000,000 ",2000,20001103,competition-related offenses,price-fixing or anti-competitive practices,,CIBA Vision agreed to pay $5 million to settle multistate litigation alleging price-fixing of replacement contact lenses.,state,agency action,Multistate Attorneys General Case,civil,,,,,,,,,,,,Switzerland,,publicly traded,NYSE: NVS,pharmaceuticals,pharmaceuticals,https://web.archive.org/web/20100214053509/http://www.ag.ny.gov/media_center/2000/nov/nov03a_00.html,
Daiichi Pharmaceutical,Daiichi Sankyo,"$4,340,100 ",$0 ,"$4,340,100 ",2000,20001011,competition-related offenses,price-fixing or anti-competitive practices,,Six international vitamin companies agreed to pay a total of $255 million to settle multistate litigation accusing them of conspiring to fix prices. The settlement agreement linked below lists the percentages of the total applicable to each defendant; they were used to determine the penalty amounts in the individual company entries here. The companies reached a separate $85 million agreement with California. These are covered in separate Violation Tracker entries.,state,agency action,Multistate Attorneys General Case,civil,,,,,,,,,,,,Japan,,publicly traded,,pharmaceuticals,pharmaceuticals,http://app3.naag.org/antitrust/search/viewCivilLitigation.php?trans_id=182,
Daiichi Pharmaceutical,Daiichi Sankyo,"$1,446,700 ",$0 ,"$1,446,700 ",2000,20001010,competition-related offenses,price-fixing or anti-competitive practices,,The California Attorney General reached an $85 million with six major vitamin producers to resolve international price-fixing allegations. This was separate from a $255 million settlement the companies reached with a group of other states. The California announcement did not indicate how the $85 million would be apportioned among the defendants. We assume here that it divided up according to the same percentages used in the larger settlement.,state,agency action,California Attorney General,civil,,,,,,California,,,,,,Japan,,publicly traded,,pharmaceuticals,pharmaceuticals,https://www.oag.ca.gov/news/press-releases/attorney-general-lockyer-announces-80-million-antitrust-settlement-involving,
Daiichi Pharmaceutical,Daiichi Sankyo,"$111,167 ",$0 ,"$111,167 ",2002,20020904,competition-related offenses,price-fixing or anti-competitive practices,,"Hoffman-La Roche Inc. and Roche Vitamins Inc.; BASF Corporation; Aventis Animal Nutrition S.A., formerly Rhone-Poulenc Animal Nutrition S.A.; Takeda Chemical Industries, Ltd.; Eisai Co., Ltd.; and Daiichi Pharmaceutical Co., Ltd. agreed to jointly pay $667,000 in settlement of allegations they enaged in price fixing of vitamins. The Commonwealth of Massachusetts did not participate in the multistate settlement in October 2000 and instead made claims for antitrust damages under the Massachusetts Consumer Protection Act. The announcement did not indicate how much each company would pay. Here we assume the amount was divided equally among them.",state,agency action,Massachusetts Attorney General,civil,,,,,,Massachusetts,,,,,,Japan,,publicly traded,,pharmaceuticals,pharmaceuticals,https://web.archive.org/web/20020928141823/http://www.ago.state.ma.us/press_rel/vitamins.asp,
"Daiichi Sankyo, Inc.",Daiichi Sankyo,"$39,000,000 ",$0 ,"$39,000,000 ",2015,20150316,government-contracting-related offenses,False Claims Act and related,kickbacks and bribery,"Daiichi Sankyo, Inc. agreed to pay $39 million to settle multistate litigation alleging that it violated the False Claims Act by using lavish meals and speaker programs to improperly induce physicians to prescribe the drugs Azor, Benicar, Tribenzor and Welchol. ",state,agency action,Multistate Attorneys General Case,civil,,,,,,,,,,,,Japan,,publicly traded,,pharmaceuticals,pharmaceuticals,https://web.archive.org/web/20160820071805/http://ag.ny.gov/press-release/ag-schneiderman-announces-kickback-settlement-pharma-manufacturer-daiichi-sankyo,
"Dava Pharmaceuticals, Inc.",Endo International,"$11,000,000 ","$11,000,000 ",$0 ,2012,20120301,government-contracting-related offenses,False Claims Act and related,,"Dava Pharmaceuticals agreed to pay $11 million to settle multistate litigation alleging that it misclassified drugs to evade paying its rebate obligations to Medicaid. The settlement also involved the federal government, which issued its own announcement; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-dava-pharmaceuticals-inc",state,agency action,Multistate Attorneys General Case,civil,,,,,,,,,,,,Ireland,,publicly traded,ENDP,pharmaceuticals,pharmaceuticals,https://web.archive.org/web/20150906175149/http://www.ag.ny.gov/press-release/ag-schneiderman-announces-28-million-settlements-two-pharmaceutical-companies,
DePuy Orthopaedics Inc.,Johnson & Johnson,"$4,000,000 ",$0 ,"$4,000,000 ",2014,20140702,safety-related offenses,drug or medical equipment safety violation,,DePuy paid $4 million to resolve allegations that it failed to disclose to physicians and patients that its ASR XL metal-on-metal artificial hip devices had a high rate of failure.,state,agency action,Oregon Attorney General,civil,,,,,,Oregon,,,,,,USA,New Jersey,publicly traded,JNJ,pharmaceuticals,pharmaceuticals,https://www.doj.state.or.us/media-home/news-media-releases/oregon-settles-with-artificial-hip-manufacturer-depuy-for-4-million/,
Dey,Viatris,"$3,000,000 ",$0 ,"$3,000,000 ",2012,20120207,government-contracting-related offenses,False Claims Act and related,,The Louisiana Attorney General's Office announced that it had obtained a total of $25.2 million in settlements from five pharmaceutical companies to resolve allegations they overcharged the state's Medicaid program.,state,agency action,Louisiana Attorney General,civil,,,,,,Louisiana,,,,,,USA,Pennsylvania,publicly traded,VTRS,pharmaceuticals,pharmaceuticals,http://s3.amazonaws.com/fcmd/documents/documents/000/002/620/original/glaxo-et-al-defrauding-la-medicaid_laagpr.pdf?1423021174,
Dey Inc.,Viatris,"$2,500,000 ",$0 ,"$2,500,000 ",2005,20050719,government-contracting-related offenses,False Claims Act and related,,"Dey Inc. agreed to pay $1.7 million and donate $0.8 million in pharmaceuticals for free clinics in settlement of alleged improper reporting of the average wholesale price of its drugs, causing Medicaid to pay inflated amounts.",state,agency action,Connecticut Attorney General,civil,,,,,,Connecticut,,,,,,USA,Pennsylvania,publicly traded,VTRS,pharmaceuticals,pharmaceuticals,https://web.archive.org/web/20061219052736/http://www.ct.gov/ag/cwp/view.asp?A=1949&Q=299388,
Dey Inc.,Viatris,"$2,932,000 ",$0 ,"$2,932,000 ",2006,20060425,government-contracting-related offenses,False Claims Act and related,,"Dey Inc. agreed to pay $2.932 million in settlement of alleged improper reporting of the average wholesale price of its drugs, causing Medicaid to pay inflated amounts.",state,agency action,Missouri Attorney General,civil,,,,,,Missouri,,,,,,USA,Pennsylvania,publicly traded,VTRS,pharmaceuticals,pharmaceuticals,https://web.archive.org/web/20070607113738/http://www.ago.mo.gov/newsreleases/2006/042506.htm,
Dey Inc.,Viatris,"$4,000,000 ",$0 ,"$4,000,000 ",2006,20061128,government-contracting-related offenses,False Claims Act and related,,"Misleading reporting on wholesale drug prices, inflating costs for Medicaid.",state,agency action,Ohio Attorney General,civil,,,,,,Ohio,,,,,,USA,Pennsylvania,publicly traded,VTRS,pharmaceuticals,pharmaceuticals,"Attorney General Petro Recovers $4 Million from Drug Company Accused of Defrauding Ohioans, US States News, November 28, 2006 (via Nexis).",
Dey Inc.,Viatris,"$850,000 ",$0 ,"$850,000 ",2004,20040517,government-contracting-related offenses,False Claims Act and related,,drug average wholesale price case,state,agency action,West Virginia Attorney General,civil,,,,,,West Virginia,,,,,,USA,Pennsylvania,publicly traded,VTRS,pharmaceuticals,pharmaceuticals,"Drug maker settles W.Va. pricing lawsuit, The Associated Press State & Local Wire, May 17, 2004 (via Nexis).",
Dey L.P.,Viatris,"$4,750,000 ",$0 ,"$4,750,000 ",2008,20081223,government-contracting-related offenses,False Claims Act and related,,Medicaid average wholesale price litigation.,state,agency action,Alabama Attorney General,civil,,,,,,Alabama,,,,,,USA,Pennsylvania,publicly traded,VTRS,pharmaceuticals,pharmaceuticals,"Attorney General Announces $28 Million in New Settlements with Drug Companies, press release transmitted by US States News, December 23, 2008 and Terms of Medicaid Drug Suit Settlements Announced, Associated Press, December 23, 2008 (both via Nexis).",
Dey Labs,Viatris,"$3,900,000 ",$0 ,"$3,900,000 ",2009,20090107,government-contracting-related offenses,False Claims Act and related,,"Dey Labs agreed to pay $3.9 million in settlement of alleged improper reporting of the average wholesale price of its drugs, causing Medicaid to pay inflated amounts.",state,agency action,Mississippi Attorney General,civil,,,,,,Mississippi,,,,,,USA,Pennsylvania,publicly traded,VTRS,pharmaceuticals,pharmaceuticals,https://web.archive.org/web/20110107023702/http://www.ago.state.ms.us/index.php/press/releases/mississippi_settles_with_dey_labs/,
